frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,1806716.527084,1031336.000000
4,1191265.187018,844592.000000
8,260735000.685555,3365086.000000
16,271022601.565183,3603671.000000
32,132689081.499065,2255948.000000
64,132084218.534476,2245615.000000
128,139280699.691500,2258306.000000
256,3930232.653154,1161129.000000
512,247015120.615458,3376106.000000
1024,141771576.583090,2227024.000000
2048,137145631.388911,2349989.000000
4096,6377273.671129,1036045.000000
8192,118706857.812743,2300863.000000
16384,225215404.410219,2154826.000000
32768,200661659.893659,3224105.000000
65536,175937177.286004,2251661.000000
