arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
40.00,30.00,9.00,100.00,0.00,100
32.00,30.00,9.00,100.00,0.00,100
34.00,30.00,9.00,100.00,0.00,100
38.00,30.00,18.00,100.00,0.00,100
32.00,30.00,15.00,100.00,0.00,100
38.00,16.77,64.00,100.00,0.00,100
40.00,30.00,6.00,100.00,0.00,100
40.00,30.00,15.00,100.00,0.00,100
38.00,30.00,15.00,100.00,0.00,100
34.00,30.00,15.00,100.00,0.00,100
34.00,30.00,6.00,100.00,0.00,100
38.00,30.00,9.00,100.00,0.00,100
32.00,30.00,6.00,100.00,0.00,100
32.00,16.77,64.00,100.00,0.00,100
36.00,16.77,64.00,100.00,0.00,100
40.00,30.00,12.00,100.00,0.00,100
36.00,30.00,15.00,100.00,0.00,100
36.00,30.00,6.00,100.00,0.00,100
38.00,30.00,12.00,100.00,0.00,100
36.00,30.00,12.00,100.00,0.00,100
38.00,30.00,6.00,100.00,0.00,100
34.00,16.77,64.00,100.00,0.00,100
40.00,16.77,64.00,100.00,0.00,100
40.00,30.00,18.00,100.00,0.00,100
36.00,30.00,18.00,100.00,0.00,100
34.00,30.00,12.00,100.00,0.00,100
36.00,30.00,9.00,100.00,0.00,100
34.00,30.00,18.00,100.00,0.00,100
32.00,30.00,18.00,100.00,0.00,100
32.00,30.00,12.00,100.00,0.00,100
30.00,30.00,6.00,100.00,0.00,100
30.00,30.00,9.00,100.00,0.00,100
30.00,30.00,15.00,100.00,0.00,100
30.00,30.00,12.00,100.00,0.00,100
40.00,7.92,512.00,18.00,82.00,100
38.00,4.64,32768.00,6.00,94.00,100
34.00,7.92,512.00,13.00,87.00,100
38.00,4.07,262144.00,8.00,92.00,100
30.00,16.77,64.00,100.00,0.00,100
34.00,5.65,4096.00,10.00,90.00,100
40.00,4.64,32768.00,11.00,89.00,100
38.00,5.65,4096.00,8.00,92.00,100
36.00,5.65,4096.00,8.00,92.00,100
40.00,5.65,4096.00,13.00,87.00,100
36.00,4.07,262144.00,7.00,93.00,100
