arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
38.00,30.00,15.00,100.00,0.00,397
32.00,30.00,6.00,100.00,0.00,397
40.00,30.00,18.00,100.00,0.00,397
34.00,30.00,12.00,100.00,0.00,397
32.00,30.00,9.00,100.00,0.00,397
40.00,30.00,9.00,100.00,0.00,397
36.00,30.00,15.00,100.00,0.00,397
34.00,16.77,64.00,100.00,0.00,397
38.00,30.00,18.00,100.00,0.00,397
34.00,30.00,15.00,100.00,0.00,397
36.00,16.77,64.00,100.00,0.00,397
36.00,30.00,9.00,100.00,0.00,397
40.00,30.00,15.00,100.00,0.00,397
36.00,30.00,18.00,100.00,0.00,397
34.00,30.00,18.00,100.00,0.00,397
40.00,30.00,6.00,100.00,0.00,397
36.00,30.00,12.00,100.00,0.00,397
32.00,30.00,18.00,100.00,0.00,397
36.00,30.00,6.00,100.00,0.00,397
38.00,16.77,64.00,100.00,0.00,397
38.00,30.00,9.00,100.00,0.00,397
38.00,30.00,12.00,100.00,0.00,397
34.00,30.00,9.00,100.00,0.00,397
34.00,30.00,6.00,100.00,0.00,397
32.00,30.00,15.00,100.00,0.00,397
40.00,30.00,12.00,100.00,0.00,397
38.00,30.00,6.00,100.00,0.00,397
30.00,30.00,15.00,100.00,0.00,397
32.00,30.00,12.00,100.00,0.00,397
40.00,16.77,64.00,100.00,0.00,397
32.00,16.77,64.00,100.00,0.00,397
30.00,16.77,64.00,100.00,0.00,397
30.00,30.00,12.00,100.00,0.00,397
30.00,30.00,18.00,100.00,0.00,397
30.00,30.00,6.00,100.00,0.00,397
30.00,30.00,9.00,100.00,0.00,397
28.00,16.77,64.00,100.00,0.00,397
38.00,4.07,262144.00,4.79,95.21,397
26.00,30.00,12.00,100.00,0.00,397
28.00,30.00,15.00,100.00,0.00,397
28.00,30.00,6.00,100.00,0.00,397
28.00,30.00,12.00,100.00,0.00,397
24.00,30.00,12.00,100.00,0.00,397
26.00,30.00,15.00,100.00,0.00,397
24.00,16.77,64.00,100.00,0.00,396
24.00,30.00,9.00,100.00,0.00,396
38.00,7.92,512.00,15.37,84.63,397
22.00,4.64,32768.00,6.55,93.45,397
28.00,30.00,9.00,100.00,0.00,396
36.00,7.92,512.00,10.33,89.67,397
28.00,30.00,18.00,100.00,0.00,397
22.00,30.00,9.00,100.00,0.00,396
26.00,30.00,18.00,100.00,0.00,397
20.00,30.00,15.00,100.00,0.00,395
38.00,4.64,32768.00,5.29,94.71,397
22.00,30.00,12.00,100.00,0.00,397
22.00,30.00,18.00,100.00,0.00,396
24.00,30.00,15.00,100.00,0.00,396
34.00,7.92,512.00,17.38,82.62,397
40.00,4.07,262144.00,3.27,96.73,397
28.00,4.07,262144.00,6.55,93.45,397
26.00,5.65,4096.00,6.05,93.95,397
24.00,4.07,262144.00,6.30,93.70,397
20.00,16.77,64.00,100.00,0.00,395
28.00,5.65,4096.00,8.12,91.88,394
32.00,5.65,4096.00,8.82,91.18,397
26.00,30.00,9.00,100.00,0.00,396
36.00,4.07,262144.00,4.28,95.72,397
34.00,5.65,4096.00,6.80,93.20,397
28.00,4.64,32768.00,9.92,90.08,393
24.00,7.92,512.00,13.38,86.62,396
26.00,30.00,6.00,100.00,0.00,396
24.00,30.00,6.00,100.00,0.00,396
40.00,4.64,32768.00,5.04,94.96,397
30.00,7.92,512.00,15.87,84.13,397
26.00,7.92,512.00,13.89,86.11,396
30.00,5.65,4096.00,5.57,94.43,395
26.00,4.64,32768.00,4.53,95.47,397
22.00,30.00,15.00,100.00,0.00,396
20.00,4.07,262144.00,5.54,94.46,397
38.00,5.65,4096.00,9.60,90.40,396
20.00,5.65,4096.00,8.31,91.69,397
22.00,4.07,262144.00,6.05,93.95,397
34.00,4.64,32768.00,6.55,93.45,397
20.00,7.92,512.00,18.39,81.61,397
36.00,4.64,32768.00,5.79,94.21,397
22.00,30.00,6.00,100.00,0.00,396
26.00,16.77,64.00,100.00,0.00,397
30.00,4.07,262144.00,6.05,93.95,397
34.00,4.07,262144.00,2.77,97.23,397
20.00,4.64,32768.00,3.84,96.16,391
24.00,4.64,32768.00,6.80,93.20,397
22.00,7.92,512.00,11.87,88.13,396
20.00,30.00,12.00,100.00,0.00,396
24.00,5.65,4096.00,5.61,94.39,392
20.00,30.00,6.00,100.00,0.00,395
32.00,7.92,512.00,9.82,90.18,397
24.00,30.00,18.00,100.00,0.00,396
40.00,7.92,512.00,15.37,84.63,397
32.00,4.07,262144.00,3.78,96.22,397
32.00,4.64,32768.00,7.61,92.39,381
28.00,7.92,512.00,10.83,89.17,397
40.00,5.65,4096.00,10.33,89.67,397
36.00,5.65,4096.00,11.84,88.16,397
22.00,5.65,4096.00,9.18,90.82,392
26.00,4.07,262144.00,6.80,93.20,397
30.00,4.64,32768.00,4.28,95.72,397
20.00,30.00,18.00,100.00,0.00,394
22.00,16.77,64.00,100.00,0.00,397
20.00,30.00,9.00,100.00,0.00,395
