frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,660176.788207,337648.000000,54.212545
4,537041.992038,292788.000000,63.332456
8,169603.047576,79923.000000,66.528190
16,137798.326724,90007.000000,101.014850
32,497580.717252,306620.000000,180.590697
64,158986.799590,93985.000000,145.437272
128,465597.757492,311755.000000,4158.175201
256,736255.553773,319571.000000,38511.340693
512,544466.479707,283664.000000,12657.136604
1024,637828.022594,195792.000000,119964.612328
2048,328461.588631,167849.000000,119830.763609
4096,591457.263580,288939.000000,137549.054163
8192,365087.814980,146794.000000,246087.255143
16384,239769.782594,65694.000000,192690.285632
32768,572586.329444,189968.000000,122167.306625
65536,1516923.384847,142754.000000,108663.792042
