frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,142876.038806,50999.000000,79.075913
4,162154.086032,85263.000000,1288.422291
8,372582.174955,249299.000000,59.682493
16,478109.260539,429900.000000,1661.195955
32,165860.527739,137105.000000,256.158154
64,561351.747783,247091.000000,110.476242
128,217793.240414,92842.000000,648.388772
256,564026.340350,279887.000000,38088.436828
512,475857.300637,268496.000000,269158.788772
1024,244888.407384,129721.000000,47724.596237
2048,393029.444173,153103.000000,201791.313933
4096,246217.699029,66003.000000,5456.812073
8192,414090.888879,168730.000000,103651.531547
16384,544021.872257,199291.000000,166566.374551
32768,906529.967907,249689.000000,812979.651025
65536,5447255.908693,190529.000000,4993917.280848
