frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,585113.068834,324178.000000,58.395205
4,220331.294455,181999.000000,56.973678
8,342149.456907,164324.000000,112.004464
16,263653.879365,148401.000000,126.779336
32,274904.794915,137873.000000,370.036485
64,367688.365649,245447.000000,507.056210
128,450931.556917,236602.000000,3655.246640
256,296986.225718,215183.000000,1599.485855
512,236093.716323,86617.000000,3421.547311
1024,469975.056818,217271.000000,45533.502786
2048,541354.279107,276193.000000,10446.067155
4096,237956.507698,79732.000000,116969.656715
8192,1053447.210655,335025.000000,433944.168064
16384,484012.809133,83800.000000,348387.917989
32768,1223377.838115,278115.000000,110043.917960
65536,1194789.990951,290528.000000,1097864.013729
