arrival_rate,L,FCFS_percentage,RMLF_percentage
20.0,16.772,66.7,33.3
20.0,7.918,66.7,33.3
20.0,5.649,66.7,33.3
20.0,4.639,60.0,40.0
20.0,4.073,0.0,100.0
22.0,16.772,66.7,33.3
22.0,7.918,66.7,33.3
22.0,5.649,50.0,50.0
22.0,4.639,0.0,100.0
22.0,4.073,66.7,33.3
24.0,16.772,66.7,33.3
24.0,7.918,66.7,33.3
24.0,5.649,66.7,33.3
24.0,4.639,0.0,100.0
24.0,4.073,50.0,50.0
26.0,16.772,66.7,33.3
26.0,7.918,0.0,100.0
26.0,5.649,50.0,50.0
26.0,4.639,33.3,66.7
26.0,4.073,50.0,50.0
28.0,16.772,66.7,33.3
28.0,7.918,50.0,50.0
28.0,5.649,66.7,33.3
28.0,4.639,33.3,66.7
28.0,4.073,90.0,10.0
30.0,16.772,66.7,33.3
30.0,7.918,66.7,33.3
30.0,5.649,33.3,66.7
30.0,4.639,80.0,20.0
30.0,4.073,33.3,66.7
32.0,16.772,66.7,33.3
32.0,7.918,33.3,66.7
32.0,5.649,66.7,33.3
32.0,4.639,33.3,66.7
32.0,4.073,33.3,66.7
34.0,16.772,66.7,33.3
34.0,7.918,66.7,33.3
34.0,5.649,66.7,33.3
34.0,4.639,33.3,66.7
34.0,4.073,75.0,25.0
36.0,16.772,66.7,33.3
36.0,7.918,66.7,33.3
36.0,5.649,33.3,66.7
36.0,4.639,33.3,66.7
36.0,4.073,66.7,33.3
38.0,16.772,66.7,33.3
38.0,7.918,33.3,66.7
38.0,5.649,75.0,25.0
38.0,4.639,33.3,66.7
38.0,4.073,66.7,33.3
40.0,16.772,75.0,25.0
40.0,7.918,75.0,25.0
40.0,5.649,50.0,50.0
40.0,4.639,66.7,33.3
40.0,4.073,75.0,25.0
