frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,5737408.116668885,5727605.5962932715,5727605.5962932715,5727605.5962932715,5727605.5962932715,5727605.5962932715
4,6155772.301733146,6155772.301733146,6155772.301733146,6155772.301733146,6155772.301733146,6155772.301733146
8,5935501.672551698,5827337.765572629,5827337.765572629,5827337.765572629,5827337.765572629,5827337.765572629
16,5218830.014194082,5123281.450310533,5123281.450310533,5151884.380422468,5151884.380422468,5123281.450310533
32,6161775.8229836635,6028790.085852882,6018912.757995002,6184097.31037158,6184097.31037158,6018912.757995002
64,8985722.88141327,8541846.325487366,6465790.0801346,6460211.27873493,6460211.27873493,6465790.0801346
128,6466150.565606557,6077803.490596171,5900072.631645139,5219684.432211204,5219684.432211204,5219684.432211204
256,9975125.231893834,9092991.681994326,7844729.250252682,5685369.731101575,5685369.731101575,5685369.731101575
512,5135747.818106824,5113111.332548315,5111150.580196205,4768721.446438972,5135747.818106824,4768721.446438972
1024,6231044.544466923,6225287.984242015,6227622.345858249,6207210.111513707,6175684.960982789,5613793.540912508
2048,18453154.874122337,18457135.52495985,18440318.849397235,18375662.164501093,18167825.308101572,11192403.825867748
4096,2636462.0472045485,2636462.0472045485,2636462.0472045485,2636462.0472045485,2636462.0472045485,2636462.0472045485
8192,3752042.40880497,2808653.3744728984,2808653.3744728984,2808653.3744728984,2808653.3744728984,2808653.3744728984
16384,17314.058680736878,17296.55939775307,17296.55939775307,17307.672633834973,17307.672633834973,17296.55939775307
32768,6100274.581579423,6100274.581579423,6100274.581579423,6100274.581579423,6100274.581579423,6100274.581579423
65536,5366374.272123777,5366374.272123777,5366374.272123777,5366374.272123777,5366374.272123777,5366374.272123777
