frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,5775448.4546659235,5775448.4546659235,5775448.4546659235,5775448.4546659235,5775448.4546659235,5775448.4546659235
4,6082384.65541978,6082384.65541978,6082384.65541978,6082384.65541978,6082384.65541978,6082384.65541978
8,5372906.460069448,5372906.460069448,5372906.460069448,5372906.460069448,5372906.460069448,5372906.460069448
16,6174184.477404769,6051231.2268212,6127765.817887299,6136275.801209884,6136275.801209884,6051231.2268212
32,5578527.055759522,5578527.055759522,5578527.055759522,5578527.055759522,5578527.055759522,5578527.055759522
64,6988612.091846564,7513332.6082760375,6233941.126951633,6233941.126951633,6232987.099649493,6102522.761106508
128,6199599.890847796,5167253.196770505,5152366.372884405,4496555.99197508,4496555.99197508,4496093.1922722645
256,8148542.4567139,8149211.741794172,8063453.198351436,7917922.515238767,7807424.516342954,7807424.516342954
512,10718982.654787814,10656443.01904322,15448294.824271286,15222824.378656609,8741189.727106374,8540878.799287576
1024,5205475.890191982,5142886.710647436,5027711.687370408,4745114.683152242,4558208.267956061,4558208.267956061
2048,3726220.395749559,3648666.307281196,3648666.307281196,3648666.307281196,3648666.307281196,3648666.307281196
4096,8544125.405496048,8544125.405496048,8544125.405496048,8544125.405496048,8544125.405496048,8544125.405496048
8192,57325.6469130528,57034.74320973138,57034.74320973138,57034.74320973138,57034.74320973138,57034.74320973138
16384,13912542.431743344,13912542.431743344,13912542.431743344,13912542.431743344,13912542.431743344,13912542.431743344
32768,3462074.760794313,3462074.760794313,3462074.760794313,3462074.760794313,3462074.760794313,3462074.760794313
65536,21327973.050874386,21327973.050874386,21327973.050874386,21327973.050874386,21327973.050874386,21327973.050874386
