Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
22,4.073000,262144.000000,6516074.369259,89251.000000
22,4.639000,32768.000000,5070629.542597,80917.000000
22,5.649000,4096.000000,5095432.201852,89372.000000
22,7.918000,512.000000,5249982.049686,88268.000000
22,16.772000,64.000000,4863315.810352,86936.000000
22,30.000000,6.000000,5030528.429580,85160.000000
22,30.000000,9.000000,4968369.456549,84008.000000
22,30.000000,12.000000,4852141.634037,83320.000000
22,30.000000,15.000000,5000643.203570,87833.000000
22,30.000000,18.000000,5013200.441215,87125.000000
