Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
22,4.073000,262144.000000,14907285.845306,179170.000000
22,4.639000,32768.000000,5011994.164438,89836.000000
22,5.649000,4096.000000,4620447.777541,80127.000000
22,7.918000,512.000000,4993231.756621,81114.000000
22,16.772000,64.000000,5004149.913782,86483.000000
22,30.000000,6.000000,4634752.427672,80162.000000
22,30.000000,9.000000,4805190.969822,84587.000000
22,30.000000,12.000000,4956276.256434,84582.000000
22,30.000000,15.000000,4942507.747566,85494.000000
22,30.000000,18.000000,5236866.005626,88855.000000
