Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
28,4.073000,262144.000000,5955196.768020,85865.000000
28,4.639000,32768.000000,1854187.729659,46987.000000
28,5.649000,4096.000000,2345700.824860,42629.000000
28,7.918000,512.000000,1714885.659089,29799.000000
28,16.772000,64.000000,1459793.516373,23660.000000
28,30.000000,6.000000,1555540.976206,26767.000000
28,30.000000,9.000000,1357665.167967,23022.000000
28,30.000000,12.000000,1507818.683445,25168.000000
28,30.000000,15.000000,1513974.090017,26402.000000
28,30.000000,18.000000,1741561.669464,29559.000000
