Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
22,4.073000,262144.000000,4975822.836186,80199.000000
22,4.639000,32768.000000,5533456.896651,92025.000000
22,5.649000,4096.000000,6359217.491030,107034.000000
22,7.918000,512.000000,4709806.158619,80940.000000
22,16.772000,64.000000,5011852.900088,84792.000000
22,30.000000,6.000000,5116245.399608,88519.000000
22,30.000000,9.000000,5078696.190747,87782.000000
22,30.000000,12.000000,4990316.537614,85885.000000
22,30.000000,15.000000,5075579.070236,86319.000000
22,30.000000,18.000000,4751279.858374,82478.000000
