Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
26,4.073000,262144.000000,774977.362286,16198.000000
26,4.639000,32768.000000,3466411.071816,46288.000000
26,5.649000,4096.000000,3040386.534422,46072.000000
26,7.918000,512.000000,2722873.588959,46734.000000
26,16.772000,64.000000,2664712.041438,44768.000000
26,30.000000,6.000000,2526135.737536,45140.000000
26,30.000000,9.000000,2675814.293466,46180.000000
26,30.000000,12.000000,2612431.853096,44661.000000
26,30.000000,15.000000,2670788.368431,45828.000000
26,30.000000,18.000000,2681253.775140,47642.000000
