Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
20,4.073000,262144.000000,7713547.016296,115257.000000
20,4.639000,32768.000000,6587221.438694,129088.000000
20,5.649000,4096.000000,5705251.335887,102436.000000
20,7.918000,512.000000,6198633.615103,106310.000000
20,16.772000,64.000000,6036717.194551,105150.000000
20,30.000000,6.000000,5982645.323344,102816.000000
20,30.000000,9.000000,5880024.587543,101631.000000
20,30.000000,12.000000,6204215.504699,106563.000000
20,30.000000,15.000000,5779740.437986,100450.000000
20,30.000000,18.000000,6242405.230593,106268.000000
