Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
28,4.073000,262144.000000,1889554.670125,57006.000000
28,4.639000,32768.000000,1346818.352624,33329.000000
28,5.649000,4096.000000,1498740.471649,27931.000000
28,7.918000,512.000000,1458577.443274,26537.000000
28,16.772000,64.000000,1225067.561288,23358.000000
28,30.000000,6.000000,1436113.403765,24166.000000
28,30.000000,9.000000,1420894.275202,25803.000000
28,30.000000,12.000000,1501535.804374,24779.000000
28,30.000000,15.000000,1295232.807451,22769.000000
28,30.000000,18.000000,1487265.110194,25305.000000
