Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
24,4.073000,262144.000000,315056.641987,9353.000000
24,4.639000,32768.000000,3082826.756503,58685.000000
24,5.649000,4096.000000,3716626.179582,62430.000000
24,7.918000,512.000000,3681486.858642,63420.000000
24,16.772000,64.000000,4000635.339252,68682.000000
24,30.000000,6.000000,4008089.715830,70045.000000
24,30.000000,9.000000,4017292.353176,68421.000000
24,30.000000,12.000000,3894037.541706,66994.000000
24,30.000000,15.000000,3833950.875845,65907.000000
24,30.000000,18.000000,3974029.526150,71534.000000
