Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
24,4.073000,262144.000000,3134615.813226,55862.000000
24,4.639000,32768.000000,3162660.386879,52218.000000
24,5.649000,4096.000000,3839133.942440,68159.000000
24,7.918000,512.000000,3946083.897020,66612.000000
24,16.772000,64.000000,3742806.080740,66542.000000
24,30.000000,6.000000,3624052.879773,64856.000000
24,30.000000,9.000000,4053510.017357,68858.000000
24,30.000000,12.000000,3841626.452316,66626.000000
24,30.000000,15.000000,3490769.584053,62264.000000
24,30.000000,18.000000,3889635.013060,68149.000000
