Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
32,4.073000,262144.000000,13764422.921209,195553.000000
32,4.639000,32768.000000,2056433.687061,44911.000000
32,5.649000,4096.000000,572568.379901,11874.000000
32,7.918000,512.000000,179051.436914,4356.000000
32,16.772000,64.000000,50140.273882,1846.000000
32,30.000000,6.000000,44355.055901,1285.000000
32,30.000000,9.000000,77656.528882,3088.000000
32,30.000000,12.000000,55979.122635,2010.000000
32,30.000000,15.000000,40177.765418,1172.000000
32,30.000000,18.000000,49347.495965,1190.000000
