Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
34,4.073000,262144.000000,437961.874350,18235.000000
34,4.639000,32768.000000,164767.613235,7299.000000
34,5.649000,4096.000000,248804.245139,6414.000000
34,7.918000,512.000000,78092.048673,2822.000000
34,16.772000,64.000000,27821.581767,1262.000000
34,30.000000,6.000000,24091.671216,1002.000000
34,30.000000,9.000000,25454.464068,1129.000000
34,30.000000,12.000000,22723.069709,823.000000
34,30.000000,15.000000,24359.568982,873.000000
34,30.000000,18.000000,24139.250983,768.000000
