Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
26,4.073000,262144.000000,7593828.978747,153673.000000
26,4.639000,32768.000000,4118471.751461,85252.000000
26,5.649000,4096.000000,3507148.309913,61161.000000
26,7.918000,512.000000,2460562.221726,41266.000000
26,16.772000,64.000000,2571258.705903,45919.000000
26,30.000000,6.000000,2667372.350558,45362.000000
26,30.000000,9.000000,2621061.524139,45207.000000
26,30.000000,12.000000,2604308.241899,46832.000000
26,30.000000,15.000000,2445303.469798,42548.000000
26,30.000000,18.000000,2961668.128802,50720.000000
