Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
30,4.073000,262144.000000,232180.249294,8087.000000
30,4.639000,32768.000000,2122851.209871,36111.000000
30,5.649000,4096.000000,900981.179800,20262.000000
30,7.918000,512.000000,318350.337825,6001.000000
30,16.772000,64.000000,648457.115536,9499.000000
30,30.000000,6.000000,367757.198929,6655.000000
30,30.000000,9.000000,354881.946337,5315.000000
30,30.000000,12.000000,626753.403461,11529.000000
30,30.000000,15.000000,761916.598705,10499.000000
30,30.000000,18.000000,646704.699717,10812.000000
