Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
30,4.073000,262144.000000,680139.328009,20079.000000
30,4.639000,32768.000000,219031.779176,7900.000000
30,5.649000,4096.000000,736186.353972,15106.000000
30,7.918000,512.000000,373933.735999,6809.000000
30,16.772000,64.000000,393578.190913,6186.000000
30,30.000000,6.000000,587982.006912,10138.000000
30,30.000000,9.000000,588315.138832,8411.000000
30,30.000000,12.000000,349287.216813,5847.000000
30,30.000000,15.000000,662351.925528,9781.000000
30,30.000000,18.000000,575025.411531,12619.000000
