Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
20,4.073000,262144.000000,8533840.884685,181426.000000
20,4.639000,32768.000000,4617525.935377,70134.000000
20,5.649000,4096.000000,6593093.423315,115426.000000
20,7.918000,512.000000,6228474.503832,108857.000000
20,16.772000,64.000000,6031371.027120,106027.000000
20,30.000000,6.000000,6132640.071100,107191.000000
20,30.000000,9.000000,5861448.403204,102853.000000
20,30.000000,12.000000,5944072.506148,102961.000000
20,30.000000,15.000000,6250430.201245,109138.000000
20,30.000000,18.000000,6461596.307283,110594.000000
