Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
40,4.073000,262144.000000,6372558.960117,196864.000000
40,4.639000,32768.000000,508445.051758,21707.000000
40,5.649000,4096.000000,116088.110481,6649.000000
40,7.918000,512.000000,33618.717361,1662.000000
40,16.772000,64.000000,9616.554840,460.000000
40,30.000000,6.000000,9672.830971,424.000000
40,30.000000,9.000000,10360.574405,475.000000
40,30.000000,12.000000,10649.759903,452.000000
40,30.000000,15.000000,11195.271323,491.000000
40,30.000000,18.000000,12873.797148,617.000000
