Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
36,4.073000,262144.000000,120427.683723,6156.000000
36,4.639000,32768.000000,511607.759926,19222.000000
36,5.649000,4096.000000,176863.311334,6635.000000
36,7.918000,512.000000,59118.593107,2502.000000
36,16.772000,64.000000,16350.976393,775.000000
36,30.000000,6.000000,14438.368675,518.000000
36,30.000000,9.000000,14885.215618,603.000000
36,30.000000,12.000000,18016.803102,660.000000
36,30.000000,15.000000,18419.953067,892.000000
36,30.000000,18.000000,20825.232244,966.000000
