Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
26,4.073000,262144.000000,5724288.892182,84100.000000
26,4.639000,32768.000000,1327463.747049,28123.000000
26,5.649000,4096.000000,2220744.169846,42328.000000
26,7.918000,512.000000,3521306.655641,56752.000000
26,16.772000,64.000000,2635566.916890,45156.000000
26,30.000000,6.000000,2349384.152347,40742.000000
26,30.000000,9.000000,2897046.502396,49339.000000
26,30.000000,12.000000,2346189.950591,39362.000000
26,30.000000,15.000000,2944702.515629,48900.000000
26,30.000000,18.000000,2730114.026742,45649.000000
