Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
30,4.073000,262144.000000,1249654.818939,32702.000000
30,4.639000,32768.000000,572247.722060,15496.000000
30,5.649000,4096.000000,711695.980250,14612.000000
30,7.918000,512.000000,939537.589384,14479.000000
30,16.772000,64.000000,245953.879683,4075.000000
30,30.000000,6.000000,521547.802182,10011.000000
30,30.000000,9.000000,152785.554942,3606.000000
30,30.000000,12.000000,338858.147153,6603.000000
30,30.000000,15.000000,927729.918871,15423.000000
30,30.000000,18.000000,403224.736850,9123.000000
