Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
28,4.073000,262144.000000,8422929.656031,144041.000000
28,4.639000,32768.000000,595777.889261,14071.000000
28,5.649000,4096.000000,2662594.676097,46029.000000
28,7.918000,512.000000,1539952.146231,27683.000000
28,16.772000,64.000000,1092103.948573,17990.000000
28,30.000000,6.000000,1456524.733382,23835.000000
28,30.000000,9.000000,1439139.235165,24559.000000
28,30.000000,12.000000,1072198.753964,17240.000000
28,30.000000,15.000000,2208913.578614,35139.000000
28,30.000000,18.000000,1953386.777924,32928.000000
