Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
20,4.073000,262144.000000,4767423.668707,82840.000000
20,4.639000,32768.000000,6956465.744311,109374.000000
20,5.649000,4096.000000,5181951.741363,95666.000000
20,7.918000,512.000000,6130773.431879,109098.000000
20,16.772000,64.000000,6087345.708276,104127.000000
20,30.000000,6.000000,6091053.759502,105545.000000
20,30.000000,9.000000,5799314.971299,104776.000000
20,30.000000,12.000000,5610354.328922,98643.000000
20,30.000000,15.000000,6313188.191588,109336.000000
20,30.000000,18.000000,6217736.452022,107971.000000
