Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
34,4.073000,262144.000000,856427.908688,25592.000000
34,4.639000,32768.000000,164094.135492,7087.000000
34,5.649000,4096.000000,232405.676850,6272.000000
34,7.918000,512.000000,66579.007232,2827.000000
34,16.772000,64.000000,26015.006746,1076.000000
34,30.000000,6.000000,22110.530862,824.000000
34,30.000000,9.000000,24927.705871,950.000000
34,30.000000,12.000000,21076.591945,900.000000
34,30.000000,15.000000,42206.814414,1935.000000
34,30.000000,18.000000,25922.657445,991.000000
