Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
20,4.073000,262144.000000,3921772.089075,56587.000000
20,4.639000,32768.000000,6222137.087934,117078.000000
20,5.649000,4096.000000,7036262.659662,114932.000000
20,7.918000,512.000000,6227535.776746,110839.000000
20,16.772000,64.000000,6091441.936635,105772.000000
20,30.000000,6.000000,6222792.955939,107709.000000
20,30.000000,9.000000,6000373.440351,103382.000000
20,30.000000,12.000000,5914414.710344,103318.000000
20,30.000000,15.000000,6110971.454194,106415.000000
20,30.000000,18.000000,6160081.875796,108304.000000
