Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
28,4.073000,262144.000000,3138638.534555,51119.000000
28,4.639000,32768.000000,3446486.352714,53308.000000
28,5.649000,4096.000000,1617465.276481,33678.000000
28,7.918000,512.000000,1449925.396600,24763.000000
28,16.772000,64.000000,1231920.835839,21152.000000
28,30.000000,6.000000,1533651.121300,26642.000000
28,30.000000,9.000000,1494142.613806,25508.000000
28,30.000000,12.000000,1662863.447881,27710.000000
28,30.000000,15.000000,1730116.774247,30963.000000
28,30.000000,18.000000,1730109.778717,28637.000000
