Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
36,4.073000,262144.000000,1973422.930414,43226.000000
36,4.639000,32768.000000,279071.315835,8880.000000
36,5.649000,4096.000000,153251.411837,6317.000000
36,7.918000,512.000000,61174.503733,2459.000000
36,16.772000,64.000000,16142.012886,652.000000
36,30.000000,6.000000,13542.774937,540.000000
36,30.000000,9.000000,15519.072169,647.000000
36,30.000000,12.000000,16509.488030,784.000000
36,30.000000,15.000000,17279.915654,624.000000
36,30.000000,18.000000,22653.655776,1001.000000
