Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
36,4.073000,262144.000000,1220736.812159,31651.000000
36,4.639000,32768.000000,529519.936087,16666.000000
36,5.649000,4096.000000,221350.764611,8583.000000
36,7.918000,512.000000,51963.798504,2052.000000
36,16.772000,64.000000,16953.580300,795.000000
36,30.000000,6.000000,17369.482779,692.000000
36,30.000000,9.000000,14891.292691,695.000000
36,30.000000,12.000000,17105.337646,800.000000
36,30.000000,15.000000,19244.079531,793.000000
36,30.000000,18.000000,22813.731676,1025.000000
