Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
38,4.073000,262144.000000,861372.648320,30402.000000
38,4.639000,32768.000000,569893.099009,20657.000000
38,5.649000,4096.000000,266557.992724,9518.000000
38,7.918000,512.000000,37389.874311,1587.000000
38,16.772000,64.000000,14495.261329,685.000000
38,30.000000,6.000000,11834.113106,580.000000
38,30.000000,9.000000,12446.153261,760.000000
38,30.000000,12.000000,13757.490542,727.000000
38,30.000000,15.000000,13754.151082,623.000000
38,30.000000,18.000000,15769.334577,857.000000
