Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
40,4.073000,262144.000000,243849.202295,9226.000000
40,4.639000,32768.000000,438284.355455,16347.000000
40,5.649000,4096.000000,185034.482862,6717.000000
40,7.918000,512.000000,32061.015003,1403.000000
40,16.772000,64.000000,11145.767627,502.000000
40,30.000000,6.000000,10675.787418,497.000000
40,30.000000,9.000000,10445.771776,529.000000
40,30.000000,12.000000,10381.787081,507.000000
40,30.000000,15.000000,12683.752560,492.000000
40,30.000000,18.000000,14404.916279,770.000000
