Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
26,4.073000,262144.000000,14328388.031407,178126.000000
26,4.639000,32768.000000,3945687.107238,83756.000000
26,5.649000,4096.000000,1929469.984759,31317.000000
26,7.918000,512.000000,2385810.850244,42971.000000
26,16.772000,64.000000,2544018.046497,44397.000000
26,30.000000,6.000000,2438466.825373,40814.000000
26,30.000000,9.000000,2838081.456999,47767.000000
26,30.000000,12.000000,2589934.748028,47394.000000
26,30.000000,15.000000,2384129.822220,42695.000000
26,30.000000,18.000000,2998671.611342,53500.000000
