Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
34,4.073000,262144.000000,738748.273830,25013.000000
34,4.639000,32768.000000,1403247.801823,33029.000000
34,5.649000,4096.000000,131071.639076,4861.000000
34,7.918000,512.000000,94790.415644,3638.000000
34,16.772000,64.000000,18542.438809,610.000000
34,30.000000,6.000000,20694.805121,682.000000
34,30.000000,9.000000,23125.628705,999.000000
34,30.000000,12.000000,24662.935308,918.000000
34,30.000000,15.000000,26521.934526,1043.000000
34,30.000000,18.000000,28642.861816,926.000000
