Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
38,4.073000,262144.000000,361242.902383,16328.000000
38,4.639000,32768.000000,341933.017539,12815.000000
38,5.649000,4096.000000,88668.079493,3853.000000
38,7.918000,512.000000,26644.890411,1520.000000
38,16.772000,64.000000,13160.332367,596.000000
38,30.000000,6.000000,11921.823141,485.000000
38,30.000000,9.000000,12135.334853,475.000000
38,30.000000,12.000000,12705.017670,579.000000
38,30.000000,15.000000,13336.428232,537.000000
38,30.000000,18.000000,15233.403526,592.000000
