Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
38,4.073000,262144.000000,227557.278055,9956.000000
38,4.639000,32768.000000,172867.853585,11765.000000
38,5.649000,4096.000000,321337.284520,12403.000000
38,7.918000,512.000000,35563.756340,1732.000000
38,16.772000,64.000000,12615.630028,563.000000
38,30.000000,6.000000,11628.801744,535.000000
38,30.000000,9.000000,11955.212294,475.000000
38,30.000000,12.000000,14673.354354,674.000000
38,30.000000,15.000000,16777.704581,691.000000
38,30.000000,18.000000,15094.802350,672.000000
