Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
34,4.073000,262144.000000,13547743.175684,183587.000000
34,4.639000,32768.000000,2905677.832527,52469.000000
34,5.649000,4096.000000,368080.344296,12596.000000
34,7.918000,512.000000,55590.000477,2736.000000
34,16.772000,64.000000,26179.938044,950.000000
34,30.000000,6.000000,25555.132635,948.000000
34,30.000000,9.000000,20745.017498,800.000000
34,30.000000,12.000000,21230.556634,918.000000
34,30.000000,15.000000,29500.173305,1061.000000
34,30.000000,18.000000,30967.387975,1155.000000
