Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
32,4.073000,262144.000000,499387.147732,19567.000000
32,4.639000,32768.000000,2486665.773832,50151.000000
32,5.649000,4096.000000,374267.260557,9953.000000
32,7.918000,512.000000,211644.460870,5160.000000
32,16.772000,64.000000,46367.589597,1352.000000
32,30.000000,6.000000,33988.187154,1196.000000
32,30.000000,9.000000,42874.245813,1346.000000
32,30.000000,12.000000,33550.854445,1172.000000
32,30.000000,15.000000,47896.598261,1483.000000
32,30.000000,18.000000,41212.403254,1575.000000
