Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
40,4.073000,262144.000000,85798.886735,5001.000000
40,4.639000,32768.000000,232629.049484,10214.000000
40,5.649000,4096.000000,112499.698902,4747.000000
40,7.918000,512.000000,38027.629587,1798.000000
40,16.772000,64.000000,12921.820421,705.000000
40,30.000000,6.000000,9096.076242,435.000000
40,30.000000,9.000000,10147.691018,512.000000
40,30.000000,12.000000,10942.122326,459.000000
40,30.000000,15.000000,11132.594217,520.000000
40,30.000000,18.000000,12669.694708,627.000000
