Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
20,4.073000,262144.000000,7219599.254513,93576.000000
20,4.639000,32768.000000,7421908.194817,125361.000000
20,5.649000,4096.000000,7551840.639266,134487.000000
20,7.918000,512.000000,5587284.563959,101033.000000
20,16.772000,64.000000,6015140.272167,104331.000000
20,30.000000,6.000000,6043397.682794,104388.000000
20,30.000000,9.000000,6074985.471081,105535.000000
20,30.000000,12.000000,5949713.779188,103110.000000
20,30.000000,15.000000,6112197.209264,106283.000000
20,30.000000,18.000000,6148828.368732,108111.000000
