Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
40,4.073000,262144.000000,795872.644064,25661.000000
40,4.639000,32768.000000,292197.254135,14701.000000
40,5.649000,4096.000000,198225.945217,6761.000000
40,7.918000,512.000000,29000.681113,1243.000000
40,16.772000,64.000000,10865.332393,581.000000
40,30.000000,6.000000,10003.075727,397.000000
40,30.000000,9.000000,10065.616077,454.000000
40,30.000000,12.000000,10481.178178,433.000000
40,30.000000,15.000000,11371.598217,486.000000
40,30.000000,18.000000,12956.372255,663.000000
