Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
26,4.073000,262144.000000,13627890.440679,225989.000000
26,4.639000,32768.000000,3466114.536677,51581.000000
26,5.649000,4096.000000,3405362.209211,54469.000000
26,7.918000,512.000000,2137196.285466,38329.000000
26,16.772000,64.000000,2416107.918808,42144.000000
26,30.000000,6.000000,2396058.415340,43232.000000
26,30.000000,9.000000,2642940.139389,44131.000000
26,30.000000,12.000000,2540251.534152,44374.000000
26,30.000000,15.000000,2512881.453325,41978.000000
26,30.000000,18.000000,2931964.002782,52687.000000
