Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
26,4.073000,262144.000000,421269.954566,10306.000000
26,4.639000,32768.000000,3360416.437331,65566.000000
26,5.649000,4096.000000,2359772.961374,36614.000000
26,7.918000,512.000000,3473108.455425,56719.000000
26,16.772000,64.000000,2702785.096014,45600.000000
26,30.000000,6.000000,2663156.624585,46196.000000
26,30.000000,9.000000,2640806.360764,43277.000000
26,30.000000,12.000000,2497356.552051,42338.000000
26,30.000000,15.000000,2595066.128491,45900.000000
26,30.000000,18.000000,2779125.232889,48831.000000
