Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
22,4.073000,262144.000000,4306564.459418,75514.000000
22,4.639000,32768.000000,6504991.560690,95279.000000
22,5.649000,4096.000000,5896882.385544,107207.000000
22,7.918000,512.000000,4878201.027708,86069.000000
22,16.772000,64.000000,4720323.685522,82643.000000
22,30.000000,6.000000,5056307.678559,86323.000000
22,30.000000,9.000000,4878303.280469,83207.000000
22,30.000000,12.000000,4802884.680870,82331.000000
22,30.000000,15.000000,5100739.126831,89020.000000
22,30.000000,18.000000,5305774.488552,91024.000000
