Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
36,4.073000,262144.000000,1004517.428048,38164.000000
36,4.639000,32768.000000,1483103.249999,36330.000000
36,5.649000,4096.000000,111984.149039,3944.000000
36,7.918000,512.000000,45264.808903,1495.000000
36,16.772000,64.000000,14785.960199,579.000000
36,30.000000,6.000000,13945.146790,531.000000
36,30.000000,9.000000,14664.147299,628.000000
36,30.000000,12.000000,15336.588832,662.000000
36,30.000000,15.000000,16558.988556,611.000000
36,30.000000,18.000000,20845.259653,866.000000
