Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
32,4.073000,262144.000000,939619.119622,28495.000000
32,4.639000,32768.000000,1544899.318740,31897.000000
32,5.649000,4096.000000,451359.939768,10339.000000
32,7.918000,512.000000,109558.504522,2855.000000
32,16.772000,64.000000,43611.130666,1447.000000
32,30.000000,6.000000,39830.703094,1279.000000
32,30.000000,9.000000,46697.510266,1513.000000
32,30.000000,12.000000,70405.285277,2148.000000
32,30.000000,15.000000,57355.775585,1641.000000
32,30.000000,18.000000,51969.523925,1669.000000
