Round,Algorithm_Used
1,RMLF
2,FCFS
3,FCFS
4,FCFS
5,RMLF
6,FCFS
7,FCFS
8,FCFS
9,FCFS
10,RMLF
11,FCFS
12,FCFS
13,FCFS
14,RMLF
15,FCFS
16,FCFS
17,FCFS
18,FCFS
19,RMLF
20,FCFS
21,FCFS
22,RMLF
23,FCFS
24,FCFS
25,RMLF
26,FCFS
27,RMLF
28,FCFS
29,FCFS
30,RMLF
31,FCFS
32,RMLF
33,RMLF
34,FCFS
35,RMLF
36,FCFS
37,RMLF
38,FCFS
39,RMLF
40,RMLF
41,RMLF
42,RMLF
43,RMLF
44,RMLF
45,RMLF
46,RMLF
47,RMLF
48,RMLF
49,RMLF
50,RMLF
51,RMLF
52,RMLF
53,RMLF
54,RMLF
55,RMLF
56,RMLF
