Round,Algorithm_Used
1,RMLF
2,FCFS
3,FCFS
4,RMLF
5,FCFS
6,FCFS
7,FCFS
8,RMLF
9,FCFS
10,FCFS
11,FCFS
12,RMLF
13,FCFS
14,FCFS
15,FCFS
16,FCFS
17,RMLF
18,FCFS
19,FCFS
20,FCFS
21,FCFS
22,RMLF
23,FCFS
24,FCFS
25,FCFS
26,RMLF
27,FCFS
28,FCFS
29,FCFS
30,FCFS
31,RMLF
32,FCFS
33,FCFS
34,FCFS
35,FCFS
36,RMLF
37,FCFS
38,FCFS
39,FCFS
40,FCFS
41,RMLF
42,FCFS
43,FCFS
44,FCFS
45,FCFS
46,RMLF
47,FCFS
48,FCFS
49,FCFS
50,FCFS
51,FCFS
52,RMLF
53,FCFS
54,FCFS
55,FCFS
56,FCFS
57,FCFS
58,RMLF
59,FCFS
60,FCFS
61,FCFS
62,FCFS
63,FCFS
64,RMLF
65,FCFS
66,FCFS
67,FCFS
68,FCFS
69,RMLF
70,FCFS
71,FCFS
72,FCFS
73,FCFS
74,RMLF
75,FCFS
76,FCFS
77,FCFS
78,FCFS
79,FCFS
80,RMLF
81,FCFS
82,FCFS
83,FCFS
84,FCFS
85,FCFS
86,FCFS
87,FCFS
88,RMLF
89,FCFS
90,FCFS
91,FCFS
92,FCFS
93,RMLF
94,FCFS
95,FCFS
96,FCFS
97,RMLF
98,FCFS
99,FCFS
100,RMLF
101,FCFS
102,FCFS
103,FCFS
104,RMLF
105,FCFS
106,FCFS
107,RMLF
108,FCFS
109,FCFS
110,RMLF
111,FCFS
112,FCFS
113,RMLF
114,FCFS
115,FCFS
116,RMLF
117,FCFS
118,FCFS
119,RMLF
120,FCFS
121,FCFS
122,RMLF
123,FCFS
124,RMLF
125,FCFS
126,RMLF
127,FCFS
128,FCFS
129,RMLF
130,FCFS
131,RMLF
132,FCFS
133,FCFS
134,RMLF
135,FCFS
136,FCFS
137,RMLF
138,FCFS
139,RMLF
140,FCFS
141,FCFS
142,RMLF
143,FCFS
144,FCFS
145,RMLF
146,FCFS
147,FCFS
148,FCFS
149,RMLF
150,FCFS
151,FCFS
152,FCFS
153,FCFS
154,RMLF
155,FCFS
156,FCFS
157,FCFS
158,FCFS
159,RMLF
160,FCFS
161,FCFS
162,FCFS
163,FCFS
164,FCFS
165,RMLF
166,FCFS
167,FCFS
168,FCFS
169,FCFS
170,RMLF
171,FCFS
172,FCFS
173,FCFS
174,FCFS
175,FCFS
176,RMLF
177,FCFS
178,FCFS
179,FCFS
180,FCFS
181,RMLF
182,FCFS
183,FCFS
184,FCFS
185,FCFS
186,RMLF
187,FCFS
188,FCFS
189,RMLF
190,FCFS
191,FCFS
192,FCFS
193,RMLF
194,FCFS
195,FCFS
196,RMLF
197,FCFS
198,FCFS
199,FCFS
200,RMLF
201,FCFS
202,FCFS
203,RMLF
204,FCFS
205,FCFS
206,RMLF
207,FCFS
208,FCFS
209,RMLF
210,FCFS
211,FCFS
212,FCFS
213,RMLF
214,FCFS
215,FCFS
216,RMLF
217,FCFS
218,FCFS
219,RMLF
220,FCFS
221,FCFS
222,FCFS
223,RMLF
224,FCFS
225,FCFS
226,FCFS
227,FCFS
228,FCFS
229,RMLF
230,FCFS
231,FCFS
232,FCFS
233,FCFS
234,FCFS
235,FCFS
236,FCFS
237,FCFS
238,FCFS
239,RMLF
240,FCFS
241,FCFS
242,FCFS
243,FCFS
244,FCFS
245,FCFS
246,FCFS
247,FCFS
248,RMLF
249,FCFS
250,FCFS
251,FCFS
252,FCFS
253,RMLF
254,FCFS
255,FCFS
256,FCFS
257,RMLF
258,FCFS
259,FCFS
260,FCFS
261,FCFS
262,RMLF
263,FCFS
264,FCFS
265,FCFS
266,RMLF
267,FCFS
268,FCFS
269,FCFS
270,FCFS
271,RMLF
272,FCFS
273,FCFS
274,FCFS
275,FCFS
276,FCFS
277,FCFS
278,FCFS
279,RMLF
280,FCFS
281,FCFS
282,FCFS
283,FCFS
284,FCFS
285,FCFS
286,FCFS
287,FCFS
288,RMLF
289,FCFS
290,FCFS
291,FCFS
292,FCFS
293,FCFS
294,RMLF
295,FCFS
296,FCFS
297,FCFS
298,FCFS
299,RMLF
300,FCFS
301,FCFS
302,FCFS
303,FCFS
304,FCFS
305,RMLF
306,FCFS
307,FCFS
308,FCFS
309,FCFS
310,FCFS
311,RMLF
312,FCFS
313,FCFS
314,FCFS
315,FCFS
316,FCFS
317,RMLF
318,FCFS
319,FCFS
320,FCFS
321,FCFS
322,FCFS
323,RMLF
324,FCFS
325,FCFS
326,FCFS
327,FCFS
328,FCFS
329,RMLF
330,FCFS
331,FCFS
332,FCFS
333,FCFS
334,FCFS
335,FCFS
336,RMLF
337,FCFS
338,FCFS
339,FCFS
340,FCFS
341,RMLF
342,FCFS
343,FCFS
344,RMLF
345,FCFS
346,FCFS
347,FCFS
348,RMLF
349,FCFS
350,FCFS
351,FCFS
352,RMLF
353,FCFS
354,FCFS
355,FCFS
356,RMLF
357,FCFS
358,FCFS
359,FCFS
360,RMLF
361,FCFS
362,FCFS
363,FCFS
364,RMLF
365,FCFS
366,FCFS
367,RMLF
368,FCFS
369,FCFS
370,RMLF
371,FCFS
372,FCFS
373,FCFS
374,RMLF
375,FCFS
376,FCFS
377,RMLF
378,FCFS
379,FCFS
380,RMLF
381,FCFS
382,FCFS
383,RMLF
384,FCFS
385,FCFS
386,FCFS
387,RMLF
388,FCFS
389,RMLF
390,FCFS
391,FCFS
392,RMLF
393,FCFS
394,RMLF
395,FCFS
396,FCFS
397,RMLF
398,FCFS
399,FCFS
400,FCFS
401,RMLF
402,FCFS
403,FCFS
404,FCFS
405,RMLF
406,FCFS
407,FCFS
408,RMLF
409,FCFS
410,FCFS
411,FCFS
412,FCFS
413,RMLF
414,FCFS
415,FCFS
416,FCFS
417,FCFS
418,RMLF
419,FCFS
420,FCFS
421,FCFS
422,FCFS
423,RMLF
424,FCFS
425,FCFS
426,FCFS
427,RMLF
428,FCFS
429,FCFS
430,FCFS
431,FCFS
432,FCFS
433,RMLF
434,FCFS
435,FCFS
436,FCFS
437,FCFS
438,FCFS
439,FCFS
440,FCFS
441,FCFS
442,RMLF
443,FCFS
444,FCFS
445,FCFS
446,FCFS
447,FCFS
448,FCFS
449,FCFS
450,FCFS
451,FCFS
452,FCFS
453,FCFS
454,RMLF
455,FCFS
456,FCFS
457,FCFS
458,FCFS
459,FCFS
460,FCFS
461,FCFS
462,FCFS
463,FCFS
464,FCFS
465,RMLF
466,FCFS
467,FCFS
468,FCFS
469,FCFS
470,FCFS
471,FCFS
472,FCFS
473,FCFS
474,FCFS
475,FCFS
476,FCFS
477,RMLF
478,FCFS
479,FCFS
480,FCFS
481,FCFS
482,FCFS
483,FCFS
484,RMLF
485,FCFS
486,FCFS
487,FCFS
488,FCFS
489,FCFS
490,RMLF
491,FCFS
492,FCFS
493,FCFS
494,FCFS
495,FCFS
496,FCFS
497,FCFS
498,RMLF
499,FCFS
500,FCFS
501,FCFS
502,FCFS
503,FCFS
504,FCFS
505,FCFS
506,FCFS
507,FCFS
508,FCFS
509,FCFS
510,FCFS
511,FCFS
512,FCFS
513,FCFS
514,FCFS
515,FCFS
516,FCFS
517,FCFS
518,FCFS
519,FCFS
520,FCFS
521,FCFS
522,FCFS
523,FCFS
524,FCFS
525,FCFS
526,FCFS
527,FCFS
528,FCFS
529,FCFS
530,FCFS
531,FCFS
532,FCFS
533,FCFS
534,FCFS
535,FCFS
536,FCFS
537,FCFS
538,FCFS
539,FCFS
540,FCFS
541,FCFS
542,FCFS
543,FCFS
544,FCFS
545,FCFS
546,FCFS
547,FCFS
548,FCFS
549,FCFS
550,FCFS
551,FCFS
552,FCFS
553,FCFS
554,FCFS
555,FCFS
556,FCFS
557,FCFS
558,FCFS
559,FCFS
560,FCFS
561,FCFS
562,FCFS
