frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,16248422.022618197,1081912
4,16584271.245388867,1004862
8,16856839.58786326,950553
16,16795264.281924948,1049773
32,17743732.601874556,1042767
64,17365676.21032006,1055982
128,17589833.84470493,1008412
256,17794679.510622915,1046537
512,18628715.75526499,998526
1024,18794118.718095325,1049909
2048,19421200.071496304,1068619
4096,16345742.45089329,1007571
8192,21081122.84626279,1075043
16384,17700612.488815915,1001014
32768,20721893.221084263,1188504
65536,5298098.999327212,666212
