frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,17037456.996861532,1083420
4,16642282.166640697,1015055
8,17029377.785517238,1026211
16,17760759.560254343,1053676
32,16804832.094110135,1001625
64,17044047.09805846,1052589
128,16694402.011598378,1040810
256,17987499.83518952,1009272
512,17936344.225520093,1101164
1024,17601601.951939404,1027042
2048,18457488.752677027,1018950
4096,17882958.882667236,1008608
8192,20073977.66525553,1079731
16384,20906656.797427773,1025448
32768,21765001.552338768,1164796
65536,25458395.581424076,1329171
