frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,15611079.364471056,1015968
4,17234620.0919523,1072738
8,17582843.928163044,988552
16,17069090.307425525,1150603
32,16824787.041381266,1093636
64,16893213.05526406,1007767
128,17674435.21411618,1062366
256,18574491.547894765,1049595
512,18893139.594885863,1100644
1024,17975737.12457022,1054093
2048,19017495.224405184,1153329
4096,20416123.37729367,1202140
8192,14893755.591464095,944484
16384,12668304.902177678,863413
32768,13399549.95334612,1142018
65536,33644900.087192945,950882
