frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,16427792.374943323,1113146
4,15997269.841335645,1072207
8,17585715.436812915,1096991
16,18191151.059315074,1027382
32,17587203.14262262,1078999
64,17502344.443080302,1043982
128,18179896.32780297,1009940
256,18317092.588785343,1105215
512,17731502.51606132,1059751
1024,20097384.1213078,1094131
2048,20738624.428885803,1040735
4096,16752672.68824718,987594
8192,14649756.95458324,1025381
16384,20165774.4995168,1106111
32768,16028557.017720342,1040037
65536,9391709.05705905,643477
