frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,17431458.665525183,1092057
4,15539855.369120074,1018369
8,17654143.593678396,1113038
16,17564803.86466473,1069623
32,16867038.433566663,1078857
64,17205614.975991037,990942
128,17892238.94026558,1067762
256,17901831.383521102,1031581
512,17814068.594585262,1048999
1024,17945959.572322316,1017412
2048,19903676.34488302,1064451
4096,18323990.141711656,1000752
8192,15122920.339313501,986214
16384,16991314.17934072,1022155
32768,29174804.13313128,1198244
65536,19642745.001369413,1083321
