frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,16907883.28629202,1059215
4,16770791.543452235,1229407
8,17205979.069904275,1027693
16,16676699.91136301,1024675
32,17482068.57846671,1101846
64,17654629.20287546,1089926
128,17024423.875194956,994398
256,17466637.404896397,1116876
512,17998170.65849724,1188126
1024,17994249.797799714,1061874
2048,16162140.276806658,1139246
4096,19481739.242974047,1023743
8192,20246607.964572188,1077968
16384,18387342.82136753,1160570
32768,22814790.428633288,1046591
65536,17621688.190334972,911004
