frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,17177984.78172932,1066543
4,17728534.293848068,1052832
8,17135290.25618513,1025641
16,17333349.276279785,1067704
32,17133697.888785888,1006810
64,16922687.19861784,949394
128,18112267.525526755,1047660
256,18243597.966680504,1149151
512,17768894.053868126,1130222
1024,17582030.558706865,1057267
2048,16415653.394938502,985707
4096,19880277.84313451,1108938
8192,15949843.512359299,990339
16384,15614122.275871065,1039830
32768,12731423.051185912,864063
65536,27857997.046673115,1483574
