frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,16925285.465615995,1128462
4,16757859.531067057,1145911
8,17828336.960020162,1040139
16,16920403.476755068,1023224
32,17182382.5943001,1022137
64,17008313.481934976,1191026
128,18217402.225815266,1078774
256,18215220.469922263,1075120
512,18529817.080634095,1078510
1024,17669495.527124535,1040578
2048,16423891.89692705,1061064
4096,15550557.477426363,1049771
8192,24358779.167999018,1109733
16384,15930985.568243228,878332
32768,23498993.69468144,1097075
65536,18226020.5722154,1140905
