frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,17195438.504715428,1024804
4,16723303.615445215,1054639
8,16614943.842630556,935884
16,18082149.43086416,1043837
32,17555113.42200511,1135036
64,17628605.706998467,1048867
128,18128633.0908921,1019553
256,17347687.959964868,1048387
512,17830927.871206395,983637
1024,19200220.219203215,1024419
2048,19163256.657890614,1172347
4096,16519732.03933048,997557
8192,14128268.65181272,937146
16384,16547924.241813261,1037897
32768,17374069.68906986,1036110
65536,27165203.661812183,998934
