frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,16520578.332125332,1044412
4,16640619.143168952,1045286
8,16888033.990802214,1071328
16,17378016.543264855,1048778
32,17045764.386628162,1129592
64,17031686.845846657,962991
128,17127441.25049991,969089
256,18144801.72098039,1106829
512,17214740.805007055,1013750
1024,18476336.56357921,1025691
2048,19087333.841055017,1211883
4096,20424767.796804275,1003733
8192,21577548.388802886,1225843
16384,11601714.97729814,870769
32768,21594880.04219947,1133501
65536,9389946.257104298,728771
