arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
40,8000.000000,3000,989149945.502722,989149945.502722,989149945.502722,989149945.502722,989149945.502722,989149945.502722,989149945.502722,989149945.502722
40,300.000000,150,31843207.920400,31843207.920400,31843207.920400,31843207.920400,31843207.920400,31843207.920400,31843207.920400,31843207.920400
40,1500.000000,600,181116289.142280,181116289.142280,181116289.142280,181116289.142280,181116289.142280,181116289.142280,181116289.142280,181116289.142280
40,15.300000,32768,61272382.008241,60814776.809874,60814776.809874,60814776.809874,60814776.809874,60814776.809874,60814776.809874,60814776.809874
40,13.000000,262144,40333965.302204,40333965.302204,40333965.302204,40333965.302204,40333965.302204,40333965.302204,40333965.302204,40333965.302204
40,19.700000,4096,96066263.596702,96066263.596702,96066263.596702,96066263.596702,96066263.596702,96066263.596702,96066263.596702,96066263.596702
40,32.300000,512,171283081.940183,171283081.940183,171283081.940183,171283081.940183,171283081.940183,171283081.940183,171283081.940183,171283081.940183
40,90.000000,36,219562229.505152,217545288.347173,216016201.142172,222374207.018513,228488430.380912,230234686.401897,230234790.822403,228459521.394864
40,90.000000,27,230585855.423037,233628063.623941,234065969.466525,234065969.466525,234065772.308038,234065969.466525,234065969.466525,234065969.466525
40,90.000000,18,233102569.525911,233102569.525911,233102569.525911,233102569.525911,233102569.525911,233102569.525911,233102569.525911,233102569.525911
